input_store_id,1,2,3,4,5,6,7,8,9,10
13421,10523,12022,11707,14238,17557,13978,8655,6941,15465,17673
13424,14967,6372,15891,7646,8906,10099,5234,8780,17650,3387
13425,17378,12078,15495,13388,6860,3909,10468,6845,16403,15018
13464,11887,18274,17507,5483,11054,3888,8317,10217,2240,7139
13473,13732,1914,15503,14242,15007,11441,14894,5705,10260,15250
13486,18163,8013,16406,11482,9441,15436,8782,16541,9732,5748
13501,5698,1620,2255,7030,16796,4046,13024,10809,9187,10643
13509,9885,218,14042,15965,15326,1518,11865,7668,4006,552
13511,3906,5084,16395,14740,18039,8722,9978,15580,14280,7642
13533,2821,1943,7408,1769,10020,4642,8998,7006,15418,12103
13558,15739,17422,5241,16170,7566,8682,2556,3116,18177,13595
13595,5241,13818,17966,942,15741,15748,10315,7006,7846,7526
13649,13175,10496,15438,10981,4319,7368,11155,14019,7814,778
13744,14434,14238,4123,7828,3103,4451,17816,13122,17430,16335
13779,16062,6867,7846,17422,11441,14242,17637,4830,5241,13566
13797,8147,5241,16854,3116,2556,16285,17966,18115,9554,7526
13866,18091,15978,16451,9554,10119,17760,9349,16729,7870,8833
13931,6413,2472,15882,13432,13851,8499,10694,3442,15504,18214
13940,5095,13320,12121,17920,13872,13269,9250,13015,11936,8843
13984,1219,6753,7765,17261,15428,1833,16715,6269,16610,17663
13986,14863,4509,4929,11034,11697,15313,15681,8148,10682,11987
14047,8725,7606,18395,8382,1220,14389,1774,3290,14772,15887
14054,10607,6800,10076,11736,2080,18426,15415,11971,14217,13518
14068,1943,10196,6853,2103,17472,13131,2306,1769,17983,209
14100,8026,16495,3822,17835,14891,3309,8975,1655,509,5075
14135,18435,8460,3215,12129,659,8034,3503,878,1035,11320
14238,8954,4350,4451,11975,4123,3951,16494,4711,16790,14529
14345,8828,13518,13958,8400,4746,10234,13841,63,18013,9993
14388,3815,15495,9845,4843,1769,353,16429,11155,5515,3565
14400,15044,16169,206,218,13911,6904,9844,6199,15023,6033
14414,8412,14764,9351,10697,17754,10396,14797,14274,17779,11678
14454,12150,9122,10423,1462,16190,5121,7564,13152,10869,2550
14478,15430,11055,10117,15914,10554,10474,16288,6265,16445,7229
14500,9224,16146,17451,10979,4999,5047,16127,11640,4926,3677
14502,7507,14180,11007,13471,892,8511,3049,9064,8546,14019
14503,6915,18318,4399,3414,9146,6939,5241,7791,13527,13701
14534,11422,15915,11375,6861,4917,14532,13108,10701,7009,7878
14598,11730,8378,7442,8376,13227,18295,11441,9149,5451,6910
14613,15880,15327,7542,4813,1530,7213,13917,13272,10744,13089
14614,12181,9891,13152,13051,16341,16241,10136,7761,11895,2193
14713,9315,9757,15626,11179,13623,18481,1919,7694,5184,15289
14794,16540,9247,5113,2420,11071,15404,11825,11432,14365,13024
14801,10084,10131,6804,7110,1053,10780,2222,9744,13517,11132
14815,5058,7948,18103,9483,15391,17832,11412,11113,13998,3456
14836,11143,6231,2801,10982,1514,16901,14202,3884,9559,15171
14887,10044,8102,15634,16884,3928,13464,2995,9936,14131,15237
14914,15859,13592,14506,13757,17556,10430,8626,14559,519,14590
14922,16715,13085,13225,441,1655,15698,16828,2981,14850,9717
14945,15338,10123,11483,14312,11876,4406,15240,6664,10729,10088
14947,7631,14150,3616,8727,8732,11132,10937,15255,17733,4438
14967,16182,9242,13424,10164,2188,17679,9250,5515,7763,2864
15043,10733,6280,16135,9144,5330,356,5669,6231,6483,7683
15080,13078,13020,3813,11427,2457,6314,9693,13103,8696,6379
15132,10396,10271,3200,8967,14274,9736,15595,13886,11958,5041
15133,14351,12118,10798,17816,8297,16640,16021,3794,11866,5657
15146,9027,7027,3184,15842,17429,10499,2906,15162,15137,11266
15164,4711,4451,4350,8513,6986,16021,3951,7771,13122,17527
15170,11197,3640,8185,14415,7483,15143,1098,3806,7270,7854
15178,17361,15410,14137,17911,15430,8796,11587,11422,15947,7570
15221,9844,4867,13911,5539,14597,6282,9891,16140,10943,13045
15226,13044,10317,8813,8596,18295,13149,14582,17378,3991,10142
15257,18346,4925,8936,18136,7646,7179,147,16003,4341,13160
15282,3319,12150,6567,10020,4642,11531,4562,4409,829,15418
15438,7879,6231,11981,16279,11363,7814,8833,8152,13779,8035
15514,18190,12158,10980,7437,6307,455,6143,16516,954,13258
15515,16541,16247,14771,1792,6123,15965,13003,14975,15044,5892
15538,14821,8813,10423,11005,4823,5584,13333,18295,13044,4531
15541,7399,15958,13272,938,9027,10149,6380,13841,9044,14922
15555,17663,13152,15044,9844,3467,16116,9891,14811,6353,15965
15576,3726,2750,13763,7006,1083,14853,5382,10019,17460,13734
15588,10562,7485,14250,10813,2410,18190,15748,7543,12158,149
15628,11432,2459,4036,9447,7140,7132,5113,7665,16234,11770
15630,8094,6400,16154,15115,3485,6630,7156,7455,4642,15761
15664,2852,14025,4696,16751,5657,15249,10653,16335,5995,5659
15667,14840,16034,14051,10990,10887,7138,7434,15711,15409,2556
15670,11655,14937,13041,15291,11454,5933,4445,10795,16697,7691
15720,16102,5594,6994,18200,15899,11043,12091,3433,16208,15562
15729,11274,11444,4668,13207,15166,15595,11327,13044,8580,14749
15772,8584,16408,11259,11954,7291,5573,15046,11162,13377,10544
15855,15755,10922,6345,4375,12119,10619,1737,2076,983,11795
15863,13205,11228,2434,327,14934,10544,9135,15343,13771,7399
15879,5377,6598,13913,5596,2773,8854,8385,14975,13045,16169
15899,16348,8043,10893,18082,8156,6599,6451,8531,9682,7466
15935,10316,12013,18347,5637,13230,4811,3578,5112,15746,8711
15944,14842,2108,10287,10476,14178,9551,8958,17754,11318,14764
15953,11444,7570,9444,15595,8042,11422,10701,8796,3982,11155
15966,13356,3806,14415,10862,16569,14958,620,1698,5169,8851
16097,1817,2065,16534,8186,14638,1648,3554,995,688,9931
16113,11945,14773,16197,9712,5376,13031,17828,11657,17447,11316
16135,2516,11194,12068,11981,3588,7072,6231,1083,18045,6280
16136,149,13084,7879,18045,13152,5306,6302,4257,8566,14683
16139,14891,17775,16495,5539,16188,14100,5075,509,10397,1188
16167,13714,3177,9461,2255,2420,7665,11690,10299,4843,9950
16177,4159,910,13547,3822,13225,8232,16715,317,16828,13195
16202,5484,4538,18426,2840,15620,13825,16227,8098,6065,17990
16207,13660,16626,13684,4144,13461,6804,4337,3093,14018,11888
16214,10886,11633,4177,11249,6613,10032,3613,15294,6167,6325
16263,13229,6435,6743,14143,9539,5013,14732,6851,5410,6087
16396,13117,15325,11121,8026,16473,5377,3822,8119,910,13913
16465,10332,18483,3841,7315,16042,16749,18248,2449,1098,3367
16505,7999,5047,6405,1870,7011,11640,14663,15463,13238,11057
16530,11271,5712,14999,2499,8175,13935,3063,14465,14052,2547
16538,10445,16807,14235,15929,11484,18153,9002,7972,13107,10214
16539,11274,1823,4130,17894,10981,16049,17833,14019,14543,11823
16553,10864,7190,14545,6091,7133,4533,10255,2240,17255,2580
16570,503,902,18026,14328,15878,188,9852,16724,11323,11953
16715,441,16828,13225,17503,15698,981,1885,16451,8026,16270
16787,3063,8953,6252,2906,3002,17625,15162,11748,16530,687
16788,4046,3620,14098,5113,7665,16865,13227,8868,6035,2420
