input_store_id,1,2,3,4,5,6,7,8,9,10
149,2193,13084,15748,16154,13081,12180,8183,9061,7879,9988
150,7481,16210,1594,14415,756,3806,4153,10501,5091,10997
154,309,3691,292,1213,9513,9556,7696,1566,13381,14020
155,7664,2980,1598,6788,15927,10419,16093,10999,3765,11237
157,3995,5356,11793,13924,17679,671,16297,17539,13243,16360
158,5398,3873,235,10954,227,73,14670,8024,1545,3524
159,17983,14400,11238,10220,11563,102,11049,5988,1518,2320
161,6446,2199,9740,10824,11157,10867,4846,13734,10591,5081
162,15064,3307,4334,8243,6906,4835,1519,11635,16326,11137
164,14622,9405,7944,2332,18184,7484,7090,5882,9141,72
165,4813,10619,13600,6804,2149,10744,2405,72,7175,7213
166,1534,10853,15332,5981,13209,10761,18370,15527,640,6043
167,7054,13045,14747,14975,100,6896,18065,5306,5377,11093
169,16230,1033,8016,16210,212,6367,5853,14670,16569,8024
171,1839,70,3538,15575,8258,16343,248,185,4298,8091
173,2857,1427,449,3817,2441,10980,1006,4409,9597,4642
174,1641,16269,317,441,5075,492,7021,4162,11869,13045
176,3062,8706,1111,1517,225,3205,11989,4700,5493,1633
177,4594,10506,16309,15749,7019,498,8813,10980,1935,11340
179,4868,13350,8524,6036,8310,3915,7212,5864,526,7232
180,6653,14251,13566,4959,4000,2165,5426,11555,6708,3884
183,3695,4464,8244,471,2902,6744,8396,16039,9504,13615
184,6006,716,14719,1565,4602,17588,8794,10364,10038,1062
185,3957,1266,4225,4006,206,16166,218,16815,8940,18434
187,14376,12182,3255,3851,18331,14375,7628,8077,2461,3178
188,15919,11978,14036,13403,7739,3755,2334,13230,18026,503
191,15846,4920,9324,9534,179,7866,1520,11100,13930,7942
192,341,14670,820,14958,9317,1304,16569,44,4048,342
193,354,13156,4009,532,10033,2212,921,12024,9536,14722
194,864,1046,13481,16478,14587,4458,736,4607,13519,9852
195,8649,11090,13636,6995,11180,16746,12122,11583,2495,2777
198,8665,1039,11496,942,9501,14587,15598,8183,8835,16316
201,10681,5790,7249,919,2214,11579,9900,306,2453,13899
203,1291,7542,4620,8258,10483,859,16238,1009,4064,4315
205,2018,10835,11957,11011,273,18147,8278,11245,8347,14250
206,136,16815,218,4006,9138,8740,14311,16169,13911,4225
208,6966,14490,2687,13842,5368,13109,6299,13642,16349,1593
209,7265,2006,7145,6682,1886,18171,14339,1046,1520,1056
210,1846,2652,4898,7975,5402,5335,15974,7501,8876,14311
211,14518,245,9510,92,6623,2733,4361,1633,2072,8758
212,8838,7087,14670,342,4153,1594,14958,7926,16569,756
214,8103,4474,5181,3586,1846,8729,1617,3335,1347,6112
215,110,3018,17925,13643,3780,5605,15382,4002,10006,9739
217,6199,5859,16166,11415,4375,5709,6033,9915,15756,218
218,1009,4006,4225,18434,9138,206,1266,15965,2748,9891
219,885,7029,16136,1344,14683,13085,18564,18045,2215,11937
220,14670,105,13877,8838,18432,212,2204,14451,16470,342
223,2319,6262,13171,6646,17838,9858,18218,2207,15503,10000
224,11382,14670,3645,212,13877,18432,4153,10334,5766,13115
225,8706,3062,176,1111,3205,1517,1547,1633,1374,92
227,158,5398,6686,3873,1545,16297,14385,8783,4816,70
228,290,84,7926,9729,5853,11685,1185,13381,14415,4106
230,4444,5006,2337,15872,10149,2216,8624,1670,12093,14537
232,1112,7240,3284,14271,4415,2058,100,2773,14032,2230
233,11016,1754,1513,3793,13319,4249,13597,2853,7926,117
235,10954,158,3873,227,7129,3943,73,18319,5398,9340
240,4814,15033,6139,6294,10291,13927,18208,10619,396,10371
243,6209,14328,8446,2517,4964,9399,8909,9951,13925,8900
244,16819,1005,13333,6017,16153,9191,123,2918,95,4358
245,14518,211,9510,6623,2072,4361,6355,3793,13319,2733
247,4968,14465,15607,11700,10463,16543,3512,17750,1980,16738
248,1269,8477,4715,7240,9176,5306,8780,93,2652,18057
249,3040,14943,1756,106,505,1862,16166,17261,10220,5324
250,770,7481,8016,212,13474,532,8185,14958,16210,7087
251,2405,6620,8956,13516,1846,5860,9880,6891,3919,941
253,2843,418,3313,12194,11382,16369,5791,1963,6327,14719
