store_id,prov_namt,latitude,longitude
6178,เพชรบูรณ์,16.41041041860598,101.1511602714294
6183,นครปฐม,13.83684539639796,100.3091490650774
6184,กรุงเทพมหานคร,13.64598419681329,100.4531650856003
6186,นนทบุรี,13.82507374925416,100.4970237078779
6187,นครราชสีมา,14.99019543886845,102.0968317965502
6188,หนองคาย,18.00352789299791,103.0650851012965
6189,เชียงใหม่,18.769241943461,99.0292316439253
6190,เลย,17.27085845085685,101.771729608135
6191,ปทุมธานี,14.09140666108857,100.6103675181465
6192,แพร่,18.310968,100.29747
6193,สระบุรี,14.72673574945532,100.7958667753315
6196,กำแพงเพชร,16.6624492171577,99.72524404497676
6197,นนทบุรี,13.87659756582508,100.4662102114322
6198,กรุงเทพมหานคร,13.72194336859161,100.7151454154286
6199,กรุงเทพมหานคร,13.71686758417172,100.6548591777089
6202,นครราชสีมา,14.74269514636398,102.03291227708
6203,เชียงราย,19.93053151931423,99.48814152331272
6204,สุรินทร์,14.62155523018976,103.8380435613613
6206,ขอนแก่น,16.34141667683821,102.8017724195616
6207,กรุงเทพมหานคร,13.75468281985633,100.5753643042193
6208,ปทุมธานี,14.11192407573554,100.5341702616483
6209,นนทบุรี,13.8616145781503,100.5006219457463
6211,อ่างทอง,14.5339941735923,100.4563534052855
6214,พิจิตร,16.49518979567256,100.4759090696479
6215,กำแพงเพชร,16.6000511950067,99.8471036589068
6216,ตาก,16.6768071957955,99.2668219317868
6218,สระแก้ว,13.4221203854475,102.198923031273
6219,กรุงเทพมหานคร,13.6810939795036,100.3557016641006
6220,กรุงเทพมหานคร,13.65073684403018,100.4062914834652
6221,สมุทรสาคร,13.56686626516603,100.3337797800129
6222,สุพรรณบุรี,14.3789104934246,99.893876831051
6223,ชลบุรี,12.95475428428284,100.9008007319683
6224,นครราชสีมา,15.20871227255338,101.7696003121048
6225,นครราชสีมา,15.03684740668251,102.1904605852878
6227,พิษณุโลก,16.86689491277008,100.2484126186475
6228,นครพนม,17.17879564710148,104.5280176354056
6231,ชลบุรี,13.3248946394761,100.9579200844444
6232,นครราชสีมา,15.7496506548539,102.2570457582552
6237,ระยอง,12.76151319078116,101.1375763239882
6239,สุราษฎร์ธานี,9.113383128728458,99.17520468904524
6240,ชลบุรี,13.04805285005904,101.0250780841863
6354,นนทบุรี,13.87627254544168,100.409061330616
6241,ฉะเชิงเทรา,13.61093048505387,101.3315416163526
6242,กรุงเทพมหานคร,13.75651035107188,100.5620028427571
6243,กระบี่,8.399802840228915,98.74203286432528
6244,อุตรดิตถ์,17.60997718489921,100.0836148034804
6245,น่าน,18.80328869871454,100.7877185533686
6246,นครปฐม,13.77367707523689,100.1795949641364
6247,กรุงเทพมหานคร,13.74919788257625,100.3641705159566
6248,สมุทรสาคร,13.5463482839462,100.2120726389412
6249,สมุทรสาคร,13.64240957604113,100.1355708360253
6250,บุรีรัมย์,14.6336883400449,102.7876708754106
6251,นครราชสีมา,14.78775371066524,101.9339618958249
6252,ชลบุรี,13.42406955266779,100.9993859812781
6254,ร้อยเอ็ด,15.61028710966241,103.9928790960935
6255,สุพรรณบุรี,14.47455381300813,99.9383087585424
6256,อ่างทอง,14.65194625211791,100.410954984485
6257,ปทุมธานี,14.0010708578339,100.570437516778
6258,ขอนแก่น,16.67115733634205,102.804823009874
6259,สุราษฎร์ธานี,8.816062511875487,99.36803532926712
6261,สุราษฎร์ธานี,8.63987718328542,99.38067746889016
6262,ภูเก็ต,7.84830056252099,98.2935559921154
6263,สุราษฎร์ธานี,9.133342809023477,99.33383821186402
6264,ประจวบคีรีขันธ์,11.50507358158058,99.60667397752212
6265,ตรัง,7.964817506522763,99.6310172916148
6266,ระนอง,9.955470391645292,98.63731734132232
6267,พังงา,8.697544411745241,98.41004200213678
6269,สมุทรปราการ,13.61691911642413,100.6515303182696
6270,บุรีรัมย์,15.64213305125496,102.9522834680077
6271,สกลนคร,17.09043133943482,103.8168743837459
6273,นครราชสีมา,14.94146602903408,102.0404917246134
6274,กรุงเทพมหานคร,13.79745674912971,100.5982572672592
6710,นครราชสีมา,14.76143620931367,102.0258285763278
6275,สระแก้ว,14.00479998663013,102.809658673509
6276,สุราษฎร์ธานี,9.08711284268361,99.3262203803663
6277,อุดรธานี,17.44276046952012,102.7922745490313
6278,นนทบุรี,13.87302107266442,100.4060629306598
6285,สมุทรสงคราม,13.41787685523275,99.96327601057948
6288,กรุงเทพมหานคร,13.898010272656,100.6753379035215
6293,นครราชสีมา,14.85374570160292,102.0678820686027
6294,ภูเก็ต,7.886502565141313,98.39313819477196
6295,ระยอง,12.71662420983944,101.1619686034683
6313,นครสวรรค์,15.35557662675996,100.5204506631676
6296,กรุงเทพมหานคร,13.65506261095078,100.4244889485062
6297,สระบุรี,14.68405307708787,100.7089935490131
6298,ปทุมธานี,13.95281748613814,100.8615132917051
